web-scraper-start-url	playerlink	playerlink-href
http://m.yankees.mlb.com/nyy/roster/40-man/	Jacoby Ellsbury	http://m.yankees.mlb.com/player/453056/jacoby-ellsbury
http://m.yankees.mlb.com/nyy/roster/40-man/	Tyler Austin	http://m.yankees.mlb.com/player/592122/tyler-austin
http://m.yankees.mlb.com/nyy/roster/40-man/	Miguel Andujar	http://m.yankees.mlb.com/player/609280/miguel-andujar
http://m.yankees.mlb.com/nyy/roster/40-man/	Bryan Mitchell	http://m.yankees.mlb.com/player/571951/bryan-mitchell
http://m.yankees.mlb.com/nyy/roster/40-man/	Clint Frazier	http://m.yankees.mlb.com/player/640449/clint-frazier
http://m.yankees.mlb.com/nyy/roster/40-man/	David Robertson	http://m.yankees.mlb.com/player/502085/david-robertson
http://m.yankees.mlb.com/nyy/roster/40-man/	Aroldis Chapman	http://m.yankees.mlb.com/player/547973/aroldis-chapman
http://m.yankees.mlb.com/nyy/roster/40-man/	Gleyber Torres	http://m.yankees.mlb.com/player/650402/gleyber-torres
http://m.yankees.mlb.com/nyy/roster/40-man/	Chad Green	http://m.yankees.mlb.com/player/643338/chad-green
http://m.yankees.mlb.com/nyy/roster/40-man/	Giovanny Gallegos	http://m.yankees.mlb.com/player/606149/giovanny-gallegos
http://m.yankees.mlb.com/nyy/roster/40-man/	Masahiro Tanaka	http://m.yankees.mlb.com/player/547888/masahiro-tanaka
http://m.yankees.mlb.com/nyy/roster/40-man/	Jordan Montgomery	http://m.yankees.mlb.com/player/656756/jordan-montgomery
http://m.yankees.mlb.com/nyy/roster/40-man/	Albert Abreu	http://m.yankees.mlb.com/player/656061/albert-abreu
http://m.yankees.mlb.com/nyy/roster/40-man/	Brett Gardner	http://m.yankees.mlb.com/player/458731/brett-gardner
http://m.yankees.mlb.com/nyy/roster/40-man/	Starlin Castro	http://m.yankees.mlb.com/player/516770/starlin-castro
http://m.yankees.mlb.com/nyy/roster/40-man/	Dellin Betances	http://m.yankees.mlb.com/player/476454/dellin-betances
http://m.yankees.mlb.com/nyy/roster/40-man/	Ben Heller	http://m.yankees.mlb.com/player/621294/ben-heller
http://m.yankees.mlb.com/nyy/roster/40-man/	Sonny Gray	http://m.yankees.mlb.com/player/543243/sonny-gray
http://m.yankees.mlb.com/nyy/roster/40-man/	Jonathan Holder	http://m.yankees.mlb.com/player/656547/jonathan-holder
http://m.yankees.mlb.com/nyy/roster/40-man/	Luis Severino	http://m.yankees.mlb.com/player/622663/luis-severino
http://m.yankees.mlb.com/nyy/roster/40-man/	Chase Headley	http://m.yankees.mlb.com/player/452104/chase-headley
